"SpeciesCode","Axis1","Axis2","Axis3","Axis4","SpeciesName","FG","TempNiche"
"Sp1",-1.85457826503713,-1.07425773907405,-0.236093220354211,0.953125965187165,"Achillea_millefolium","Forb",8.26468715985728
"Sp2",-1.04158981283147,0.436812488901753,0.513114883716509,0.161271374833674,"Acinos_alpinus","Forb",8.26468715985728
"Sp3",-1.79638734951458,-0.0327929261524236,1.01900715004542,0.997582691761779,"Agrostis_capillaris","Grass",7.15199721385247
"Sp4",0.547212862416466,2.75017986682304,0.147122177449315,0.40511718294564,"Ajuga_pyramidalis","Forb",6.1044576991737
"Sp5",1.54501022646729,0.407935777260397,0.0318294064828548,-0.0365317973118246,"Alchemilla_alpina","Forb",4.82965788399253
"Sp6",2.41586054879605,0.363020943477923,-1.06682191683898,-0.815979372878323,"Alchemilla_fissa","Forb",3.80643230115361
"Sp7",0.996621866586575,0.52517436612516,-0.11805823530415,0.39762164554024,"Alchemilla_xanthochlora","Forb",6.05346374546828
"Sp8",1.8699032212047,2.33248173708563,0.509737650185239,0.801378856605612,"Antennaria_dioica","Forb",5.47326888077849
"Sp9",-0.081302381409725,-0.310028938356908,0.384801868696671,0.0711131831026412,"Anthoxanthum_odoratum","Grass",5.6130152186197
"Sp10",-1.73034515479919,1.64497406017421,-1.6595124421858,0.96600353214789,"Anthyllis_vulneraria","Legumes",5.94858606557377
"Sp11",-0.254781274231183,1.63475230171846,1.10353059801123,-1.09553070727434,"Arnica_montana","Forb",6.23620168133329
"Sp12",1.19058997806629,-0.0182714644403936,1.74771930370559,-0.293168837872582,"Avenula_versicolor","Grass",4.9433021636982
"Sp13",0.393260572278293,-0.673839099008907,-2.78957305439236,-1.80996146216487,"Botrychium_lunaria","Forb",3.80643230115361
"Sp14",-1.64101928659612,-0.98175046095612,1.06653630548605,0.680036754116288,"Brachypodium_pinnatum","Grass",6.62022886917413
"Sp15",-0.42812218301555,0.257158443053115,1.19397660185666,1.1623907358326,"Briza_media","Grass",6.54301581418803
"Sp16",-1.39146766237022,0.32131207882437,0.213927632358518,-0.482159344607922,"Campanula_barbata","Forb",6.22120696721311
"Sp17",-1.94319518874347,-0.459073643823862,-0.30425139220873,-0.234995740866536,"Campanula_rhomboidalis","Forb",7.42785577752969
"Sp18",0.00151657719545301,-0.350209658980579,-0.851201690177746,1.10897620044436,"Campanula_scheuchzeri","Forb",5.11376858325671
"Sp19",-1.93369684689411,-1.59183568443502,-1.65706047405652,-1.97774470832493,"Carduus_defloratus","Forb",6.68948848980077
"Sp20",2.28100357926965,-0.972845806863266,0.656983929062715,-0.984362228076028,"Carex_curvula","Grass",3.80643230115361
"Sp21",0.82866614634272,-1.98395861631978,0.636352129224755,-0.456128557221106,"Carex_sempervirens","Grass",5.79735763399891
"Sp22",1.09996855461446,-1.97455545712705,0.393508152065248,-0.567073494154649,"carex_sp.","Grass",6.49382786885246
"Sp23",0.989562020010316,0.721905143397284,-1.49623527518118,-1.1047394169444,"Carlina_acaulis","Forb",5.40886416630628
"Sp24",-0.899756755764462,1.24249479146438,0.0692586477068873,-0.0303508406308146,"Centaurea_uniflora","Forb",6.22424815423244
"Sp25",2.32413909640233,0.715091866568643,-1.74495709481839,0.253535353872095,"Cerastium_alpinum","Forb",3.80643230115361
"Sp26",0.650246107563336,0.813659690111606,-1.25170318548317,-1.27058088666501,"Cirsium_acaule","Forb",5.44664607283997
"Sp27",-3.02402429649149,-1.90203900483834,-0.248075372923245,-1.12093272017648,"Cirsium_eriophorum","Forb",6.68948848980077
"Sp28",-1.03872256572786,-0.486751943687059,-1.26304041773379,-2.29116737470248,"Cirsium_spinosissimum","Forb",3.80643230115361
