"Tmin","l","c","FG","species"
-1.20301923351884,-6.88145459974788,-5.36745213661776,"Forb","Sp1"
-1.75543860128857,-6.79607924007248,-3.8794813283348,"Forb","Sp2"
-1.19958328159568,-6.9953918743361,-4.485165646551,"Grass","Sp3"
-2.98769756720479,-6.45642588775621,-1.5958443454179,"Forb","Sp4"
-3.32428476265109,-6.20460932601323,-2.85651293990074,"Forb","Sp5"
-3.96320353619457,-5.9207955354227,-2.62330220252688,"Forb","Sp6"
-3.03490226588812,-6.30878189495801,-3.01734523259171,"Forb","Sp7"
-3.67049438061947,-6.20352885976046,-1.30400467227924,"Forb","Sp8"
-2.24961415914492,-6.57155505544556,-4.01982092757769,"Grass","Sp9"
-1.75321269483182,-6.76211276630392,-3.50763936046464,"Legumes","Sp10"
-2.27705623912411,-6.69794160847572,-2.64033854298232,"Forb","Sp11"
-2.85937652891696,-6.42849491088807,-3.15163314264271,"Grass","Sp12"
-2.87522315702635,-6.18090701914631,-4.3714404864871,"Forb","Sp13"
-1.1788165021434,-6.95455563602798,-5.0919304879612,"Grass","Sp14"
-2.01093578531815,-6.72506945068308,-3.68695551024464,"Grass","Sp15"
-1.57450184641001,-6.84178976239812,-4.1364666626417,"Forb","Sp16"
-1.2281341092653,-6.90200569445931,-4.97244573034666,"Forb","Sp17"
-2.44487771035934,-6.44234833212311,-4.12727270715689,"Forb","Sp18"
-1.2729458441545,-6.76377163744549,-5.90033090512131,"Forb","Sp19"
-3.52431447191417,-6.08719206657843,-3.4738177385753,"Grass","Sp20"
-2.56445555692226,-6.37992420287366,-4.80728308315666,"Grass","Sp21"
-2.75394138994458,-6.30074763763944,-4.70880993512308,"Grass","Sp22"
-3.22141318103134,-6.18887248788901,-3.00678220703328,"Forb","Sp23"
-1.98260090834655,-6.73648793783211,-3.28630133664394,"Forb","Sp24"
-4.03182260312263,-5.88376697326025,-2.47324598153474,"Forb","Sp25"
-3.00321527808078,-6.28390651665038,-3.06159202092304,"Forb","Sp26"
-0.428039483097887,-7.11740865464272,-6.45046136562856,"Forb","Sp27"
-1.87152405919788,-6.62387004092985,-4.69994881555213,"Forb","Sp28"
-2.13943335546155,-6.63996891072227,-3.56182108098692,"Forb","Sp29"
-0.673027281387915,-7.15699408206012,-4.74581657139094,"Forb","Sp30"
-0.968937893742369,-7.01541926125605,-5.40359548722983,"Grass","Sp31"
-3.23429301032074,-6.0690533772808,-4.47570172581854,"Shrub","Sp32"
-3.2452303988987,-6.30197301595571,-3.06619956814722,"Grass","Sp33"
-2.62527246797169,-6.40146648610741,-3.12738509478987,"Forb","Sp34"
-2.13454593113965,-6.66526532769247,-3.35528551102461,"Forb","Sp35"
-2.78046371076828,-6.38078500385437,-3.95694502939929,"Grass","Sp36"
-2.21966843293102,-6.62684957019196,-4.1372439470996,"Grass","Sp37"
-1.89188721982537,-6.74768044297352,-4.70181062623744,"Grass","Sp38"
-1.6388239479277,-6.8119635008586,-4.75663581611939,"Grass","Sp39"
-3.27623098925632,-6.25761884044585,-3.13512670606882,"Grass","Sp40"
-4.48902844192533,-5.71690346478724,-2.65360299821987,"Forb","Sp41"
-1.95148568026159,-6.66131545604948,-4.09846872858811,"Forb","Sp42"
-2.29570633843456,-6.33814483105019,-6.56710418903146,"Forb","Sp43"
-3.27426467902889,-6.1847464937664,-3.05118383742313,"Forb","Sp44"
-3.47205041797528,-6.13353121362954,-3.31137435630107,"Forb","Sp45"
-1.82566627664574,-6.62898928317543,-4.56912407383366,"Forb","Sp46"
-1.14516932461733,-6.93699429146861,-5.33837982989523,"Forb","Sp47"
-3.19736709188998,-6.31028858686506,-2.61209441177846,"Forb","Sp48"
-2.23876778448658,-6.5278555608721,-4.16936087228617,"Forb","Sp49"
-2.67792784977633,-6.44414648582882,-3.63470703839205,"Grass","Sp50"
-3.40686186986039,-6.24914107967128,-2.14350150547285,"Forb","Sp51"
-2.6436482882149,-6.57548565568359,-2.20291285904759,"Forb","Sp52"
-2.85594269822941,-6.5118158623383,-1.85213489956586,"Forb","Sp53"
-2.15686643450866,-6.79317128389801,-1.98697099211619,"Forb","Sp54"
-1.33946244217859,-7.00370400556645,-3.22162703470624,"Forb","Sp55"
-2.55853556808556,-6.28903505277688,-4.55928455055211,"Legumes","Sp56"
-3.32430512719809,-6.24873091147145,-2.48776915501606,"Forb","Sp57"
-1.29228209232739,-6.87900386420111,-5.17282650465593,"Forb","Sp58"
-1.22351124310685,-7.02179467941219,-3.92235472479257,"Forb","Sp59"
-3.40164643207345,-6.14348735967697,-3.30803603637588,"Grass","Sp60"
-1.80102719811205,-6.7393490618522,-4.4822941595236,"Forb","Sp61"
-1.22714284010139,-7.0313861002664,-3.70869853389998,"Forb","Sp62"
-2.67839158181709,-6.48209418957937,-2.59911049133345,"Forb","Sp63"
-3.81252048315605,-6.06696244726251,-1.80867010495834,"Forb","Sp64"
-1.27571285033124,-7.01345377983575,-3.74231095256584,"Forb","Sp65"
-3.1390441439352,-6.15505320981709,-3.5489505484148,"Legumes","Sp66"
-2.10430970335556,-6.54967337566929,-4.44544600217024,"Legumes","Sp67"
-2.36383081834387,-6.51926050669458,-4.17854700835648,"Grass","Sp68"
-2.29376413926226,-6.51004839722921,-4.47118988778971,"Grass","Sp69"
-1.82799406498183,-6.67462449553986,-4.95467310703167,"Grass","Sp70"
-1.62117659673827,-6.74193876019295,-5.21751436142293,"Forb","Sp71"
-2.74762964629568,-6.54755986059727,-2.0416975595749,"Forb","Sp72"
-0.959359182435017,-7.09679813871707,-4.28230013378428,"Forb","Sp73"
-3.55151794568636,-6.14233085653205,-3.13816250268217,"Grass","Sp74"
-1.0139234146967,-6.90937140478657,-5.80088979806124,"Legumes","Sp75"
-2.7174804820481,-6.51320752244545,-2.61386250241669,"Forb","Sp76"
-1.89120284549618,-6.74568349323809,-4.17172954626916,"Grass","Sp77"
-2.66217566451862,-6.42261990954508,-3.29755136485622,"Forb","Sp78"
-3.19649723010105,-6.26125250073296,-2.71986064943603,"Forb","Sp79"
-2.8396410781865,-6.41156705084555,-2.9851165106621,"Forb","Sp80"
-1.08758637844026,-7.15203794126608,-3.13049812533381,"Forb","Sp81"
-2.14109116241394,-6.60161400739535,-4.31006556374821,"Grass","Sp82"
-1.73840048711357,-6.81463224445496,-4.38624844864037,"Grass","Sp83"
