"123" "132" "213" "231" "312" "321" "1234"
"Tmin_coef1" -0.98 -0.98 -0.98 -0.98 -0.98 -0.98 -0.94
"Tmin_coef2" -0.15 -0.15 -0.15 -0.15 -0.15 -0.15 -0.21
"Tmin_coef3" 0.16 0.16 0.16 0.16 0.16 0.16 0.15
"Tmin_coef4" NA NA NA NA NA NA 0.2
"Tmin_a" 0.93 0.93 0.93 0.93 0.93 0.93 0.8
"Tmin_b" -2.4 -2.4 -2.4 -2.4 -2.4 -2.4 -2.4
"l_coef1" 0.95 0.95 0.95 0.95 0.95 0.95 0.93
"l_coef2" -0.047 -0.045 -0.047 -0.046 -0.046 -0.045 0.11
"l_coef3" -0.31 -0.31 -0.31 -0.31 -0.31 -0.31 -0.28
"l_coef4" NA NA NA NA NA NA -0.19
"l_a" 0.34 0.35 0.34 0.34 0.35 0.35 0.29
"l_b" -6.5 -6.5 -6.5 -6.5 -6.5 -6.5 -6
"c_coef1" 0.58 0.59 0.58 0.58 0.58 0.58 0.61
"c_coef2" 0.81 0.8 0.81 0.81 0.81 0.81 0.73
"c_coef3" 0.1 0.097 0.1 0.1 0.1 0.099 0.1
"c_coef4" NA NA NA NA NA NA -0.29
"c_a" 1.1 1.1 1.1 1.1 1.1 1.1 1.2
"Nstep" 50000 120000 50000 1e+05 50000 50000 90000
"Burn" 35000 105000 35000 85000 35000 35000 75000
"Nchains" 8 3 3 3 3 3 3
"Gelman_msrf" 1.01 1.07 1.02 1.05 1.01 1.01 1.03
"logLik" -3233 -3233 -3233 -3233 -3233 -3233 -3176
"DIC" 6476.5 6476 6476.9 6476.8 6476.8 6476.5 6366.6
"pseudoR2" 0.59 0.59 0.59 0.59 0.59 0.59 0.62
